lp,"nr pasażera PEKA",data,linia - kierunek,"godzina wejścia","godzina wyjścia","czas podróży (min)","przystanek wejściowy","przystanek wyjściowy","liczba przejechanych przystanków"
43,32,2025-09-29,13 junikowo,11:33:00,11:44:00,00:11:00,rondo starołęka RSTA46,politechnikia PP72,10
44,33,2025-09-29,13 junikowo,11:43:00,11:44:00,00:01:00,kórnicka KORN78,politechnikia PP72,1
45,34,2025-09-29,13 junikowo,11:43:00,11:44:00,00:01:00,kórnicka KORN78,politechnikia PP72,1
46,35,2025-09-29,13 junikowo,11:43:00,11:44:00,00:01:00,kórnicka KORN78,politechnikia PP72,1
47,25,2025-09-29,16 os. Sobieskiego,11:45:00,11:46:00,00:01:00,politechnikia PP72,most św. Rocha MORO72,1
48,26,2025-09-29,16 os. Sobieskiego,11:45:00,11:47:00,00:02:00,politechnikia PP72,plac bernardyński PLBE72,2
49,27,2025-09-29,16 os. Sobieskiego,11:45:00,11:48:00,00:03:00,politechnikia PP72,wrocławska WROC72,3
50,28,2025-09-29,16 os. Sobieskiego,11:45:00,11:49:00,00:04:00,politechnikia PP72,aleje marcinkowskiego MRCI72,4
51,29,2025-09-29,16 os. Sobieskiego,11:45:00,11:51:00,00:06:00,politechnikia PP72,27 grudnia - teatr polski GRUD72,5
52,30,2025-09-29,16 os. Sobieskiego,11:45:00,11:53:00,00:08:00,politechnikia PP72,Fredry FRRY42,6
53,36,2025-09-29,17 górczyn PKM,12:00:00,12:15:00,00:15:00,Zegrze 1  Z124,katedra KATE42,13
54,37,2025-09-29,17 górczyn PKM,12:00:00,12:15:00,00:15:00,Zegrze 1  Z124,katedra KATE42,13
55,38,2025-09-29,17 górczyn PKM,12:00:00,12:15:00,00:15:00,Zegrze 1  Z124,katedra KATE42,13
56,39,2025-09-29,17 górczyn PKM,12:00:00,12:15:00,00:15:00,Zegrze 1  Z124,katedra KATE42,13
57,40,2025-09-29,17 górczyn PKM,12:00:00,12:15:00,00:15:00,Zegrze 1  Z124,katedra KATE42,13
58,41,2025-09-29,17 górczyn PKM,12:01:00,12:15:00,00:14:00,Zegrze 2  Z242,katedra KATE42,12
59,42,2025-09-29,17 górczyn PKM,12:01:00,12:15:00,00:14:00,Zegrze 2  Z242,katedra KATE42,12
60,43,2025-09-29,17 górczyn PKM,12:02:00,12:15:00,00:13:00,Zegrze3 Z342,katedra KATE42,11
61,44,2025-09-29,17 górczyn PKM,12:02:00,12:15:00,00:13:00,Zegrze3 Z342,katedra KATE42,11
62,36,2025-09-29,8 ogrody,12:50:00,12:57:00,00:07:00,katedra KATE42,Fredry FRRY42,4
63,37,2025-09-29,8 ogrody,12:50:00,12:57:00,00:07:00,katedra KATE42,Fredry FRRY42,4
64,38,2025-09-29,8 ogrody,12:50:00,12:57:00,00:07:00,katedra KATE42,Fredry FRRY42,4
65,39,2025-09-29,8 ogrody,12:50:00,12:57:00,00:07:00,katedra KATE42,Fredry FRRY42,4
66,40,2025-09-29,8 ogrody,12:50:00,12:57:00,00:07:00,katedra KATE42,Fredry FRRY42,4
67,41,2025-09-29,8 ogrody,12:50:00,12:57:00,00:07:00,katedra KATE42,Fredry FRRY42,4
68,42,2025-09-29,8 ogrody,12:50:00,12:57:00,00:07:00,katedra KATE42,Fredry FRRY42,4
69,43,2025-09-29,8 ogrody,12:50:00,12:57:00,00:07:00,katedra KATE42,Fredry FRRY42,4
70,44,2025-09-29,8 ogrody,12:50:00,13:04:00,00:14:00,katedra KATE42,polna PONA71,7
71,45,2025-09-29,8 ogrody,12:50:00,13:04:00,00:14:00,katedra KATE42,polna PONA71,7
72,46,2025-09-29,8 ogrody,12:50:00,13:04:00,00:14:00,katedra KATE42,polna PONA71,7
73,47,2025-09-29,8 ogrody,12:50:00,13:04:00,00:14:00,katedra KATE42,polna PONA71,7
74,48,2025-09-29,174 Unii Lubelskiej,15:00:00,15:12:00,00:12:00,Os. Batorego OSBA04,wiktoria WIKT02,6
75,49,2025-09-29,174 Unii Lubelskiej,15:00:00,15:12:00,00:12:00,Os. Batorego OSBA04,wiktoria WIKT02,6
76,50,2025-09-29,174 Unii Lubelskiej,15:00:00,15:12:00,00:12:00,Os. Batorego OSBA04,wiktoria WIKT02,6
77,51,2025-09-29,174 Unii Lubelskiej,15:00:00,15:12:00,00:12:00,Os. Batorego OSBA04,wiktoria WIKT02,6
78,52,2025-09-29,174 Unii Lubelskiej,15:00:00,15:12:00,00:12:00,Os. Batorego OSBA04,wiktoria WIKT02,6
79,53,2025-09-29,174 Unii Lubelskiej,15:00:00,15:12:00,00:12:00,Os. Batorego OSBA04,wiktoria WIKT02,6
80,54,2025-09-29,174 Unii Lubelskiej,15:00:00,15:12:00,00:12:00,Os. Batorego OSBA04,wiktoria WIKT02,6
81,55,2025-09-29,174 Unii Lubelskiej,15:11:00,15:20:00,00:09:00,umultowska UMUL02,wilczak WILC02,5
82,56,2025-09-29,174 Unii Lubelskiej,15:11:00,15:20:00,00:09:00,umultowska UMUL02,wilczak WILC02,5
83,57,2025-09-29,174 Unii Lubelskiej,15:11:00,15:20:00,00:09:00,umultowska UMUL02,wilczak WILC02,5
84,58,2025-09-29,174 Unii Lubelskiej,15:11:00,15:20:00,00:09:00,umultowska UMUL02,wilczak WILC02,5
85,59,2025-09-29,174 Unii Lubelskiej,15:11:00,15:20:00,00:09:00,umultowska UMUL02,wilczak WILC02,5
86,60,2025-09-29,174 Unii Lubelskiej,15:11:00,15:20:00,00:09:00,umultowska UMUL02,wilczak WILC02,5
87,61,2025-09-29,174 Unii Lubelskiej,15:11:00,15:20:00,00:09:00,umultowska UMUL02,wilczak WILC02,5
88,62,2025-09-29,174 Unii Lubelskiej,15:11:00,15:20:00,00:09:00,umultowska UMUL02,wilczak WILC02,5
89,63,2025-09-29,174 Unii Lubelskiej,15:11:00,15:20:00,00:09:00,umultowska UMUL02,wilczak WILC02,5
90,64,2025-09-29,174 Unii Lubelskiej,15:08:00,15:20:00,00:12:00,stoińskiego STOI02,wilczak WILC02,7
91,65,2025-09-29,174 Unii Lubelskiej,15:08:00,15:20:00,00:12:00,stoińskiego STOI02,wilczak WILC02,7
92,66,2025-09-29,174 Unii Lubelskiej,15:08:00,15:20:00,00:12:00,stoińskiego STOI02,wilczak WILC02,7
93,67,2025-09-29,174 Unii Lubelskiej,15:08:00,15:20:00,00:12:00,stoińskiego STOI02,wilczak WILC02,7
94,68,2025-09-29,174 Unii Lubelskiej,15:08:00,15:20:00,00:12:00,stoińskiego STOI02,wilczak WILC02,7
95,69,2025-09-29,174 Unii Lubelskiej,15:08:00,15:20:00,00:12:00,stoińskiego STOI02,wilczak WILC02,7
96,70,2025-09-29,174 Unii Lubelskiej,15:08:00,15:20:00,00:12:00,stoińskiego STOI02,wilczak WILC02,7
97,49,2025-09-29,167 rondo śródka,15:11:00,15:14:00,00:03:00,wilczak WILC02,garbary pkm GABA02,2
98,50,2025-09-29,167 rondo śródka,15:11:00,15:14:00,00:03:00,wilczak WILC02,garbary pkm GABA02,2
99,51,2025-09-29,167 rondo śródka,15:11:00,15:14:00,00:03:00,wilczak WILC02,garbary pkm GABA02,2
100,52,2025-09-29,167 rondo śródka,15:11:00,15:14:00,00:03:00,wilczak WILC02,garbary pkm GABA02,2
