lp,"nr pasażera
PEKA",data,linia - kierunek,"godzina 
wejścia","godzina 
wyjścia","czas 
podróży
(min)","przystanek 
wejściowy","przystanek 
wyjściowy","liczba przejechanych
przystanków"
40,40,2025-09-15,6 junikowo,11:20:00,11:38:00,00:18:00,"Miłostowo
MILO42","Poznań główny
POGL41",12
41,41,2025-09-15,6 junikowo,11:20:00,11:38:00,00:18:00,"Miłostowo
MILO42","Poznań główny
POGL41",12
42,42,2025-09-15,6 junikowo,11:20:00,11:39:00,00:19:00,"Miłostowo
MILO42","wierzbięcice
WIER42",13
43,43,2025-09-15,6 junikowo,11:20:00,11:40:00,00:20:00,"Miłostowo
MILO42","półwiejska
POLW41",14
44,44,2025-09-15,6 junikowo,11:23:00,11:39:00,00:16:00,"węgorka
WEGO41
","wierzbięcice
WIER42",10
45,45,2025-09-15,181 rondo rataje,11:50:00,11:55:00,00:05:00,"krzywoustego
KRGO01","szwedzka
SZWE01",4
46,46,2025-09-15,181 rondo rataje,11:50:00,11:55:00,00:05:00,"krzywoustego
KRGO01","szwedzka
SZWE01",4
47,47,2025-09-15,181 rondo rataje,11:50:00,11:55:00,00:05:00,"krzywoustego
KRGO01","szwedzka
SZWE01",4
48,48,2025-09-15,181 rondo rataje,11:50:00,11:55:00,00:05:00,"krzywoustego
KRGO01","szwedzka
SZWE01",4
49,49,2025-09-15,181 rondo rataje,11:50:00,11:55:00,00:05:00,"krzywoustego
KRGO01","szwedzka
SZWE01",4
50,50,2025-09-15,181 rondo rataje,11:50:00,11:57:00,00:07:00,"krzywoustego
KRGO01", Szwajcarska Szpital SSZP04,5
51,6,2025-09-15,12 Osiedle Sobieskiego ,13:20:00,13:31:00,00:11:00,"Poznań główny
POGL41","serafitek
SERA72",4
52,7,2025-09-15,12 Osiedle Sobieskiego ,13:20:00,13:31:00,00:11:00,"Poznań główny
POGL41","serafitek
SERA72",4
53,8,2025-09-15,12 Osiedle Sobieskiego ,13:20:00,13:31:00,00:11:00,"Poznań główny
POGL41","serafitek
SERA72",4
54,26,2025-09-15,16 osiedle sobieskiego,15:00:00,15:10:00,00:10:00,"Plac Bernardyński
PLBE72","Kórnicka
KORN42",3
55,27,2025-09-15,16 osiedle sobieskiego,15:00:00,15:10:00,00:10:00,"Plac Bernardyński
PLBE72","Kórnicka
KORN42",3
56,28,2025-09-15,16 osiedle sobieskiego,15:00:00,15:10:00,00:10:00,"Plac Bernardyński
PLBE72","Kórnicka
KORN42",3
57,29,2025-09-15,16 osiedle sobieskiego,15:00:00,15:10:00,00:10:00,"Plac Bernardyński
PLBE72","Kórnicka
KORN42",3
58,58,2025-09-15,190 Rondo Rataje,16:40:00,16:45:00,00:05:00,"Osiedle Sobieskiego
SOB30","wieża RTV 
WRTV02",4
59,59,2025-09-15,190 Rondo Rataje,16:40:00,16:45:00,00:05:00,"Osiedle Sobieskiego
SOB30","wieża RTV 
WRTV02",4
60,60,2025-09-15,190 Rondo Rataje,16:40:00,16:45:00,00:05:00,"Osiedle Sobieskiego
SOB30","wieża RTV 
WRTV02",4
61,61,2025-09-15,190 Rondo Rataje,16:40:00,16:45:00,00:05:00,"Osiedle Sobieskiego
SOB30","wieża RTV 
WRTV02",4
62,62,2025-09-15,190 Rondo Rataje,18:40:00,18:45:00,00:05:00,"Osiedle Sobieskiego
SOB30","wieża RTV 
WRTV02",4
63,63,2025-09-15,190 Rondo Rataje,18:40:00,18:45:00,00:05:00,"Osiedle Sobieskiego
SOB30","wieża RTV 
WRTV02",4
64,64,2025-09-15,190 Rondo Rataje,18:40:00,18:45:00,00:05:00,"Osiedle Sobieskiego
SOB30","wieża RTV 
WRTV02",4
65,65,2025-09-15,190 Rondo Rataje,18:40:00,18:45:00,00:05:00,"Osiedle Sobieskiego
SOB30","wieża RTV 
WRTV02",4
66,66,2025-09-15,174 Unii Lubelskiej,18:30:00,18:47:00,00:17:00,"Osiedle Sobieskiego
SOB30","Osiedle Pod Lipami
OPL02",13
67,67,2025-09-15,174 Unii Lubelskiej,18:30:00,18:47:00,00:17:00,"Osiedle Sobieskiego
SOB30","Osiedle Pod Lipami
OPL02",13
68,68,2025-09-15,174 Unii Lubelskiej,18:30:00,18:47:00,00:17:00,"Osiedle Sobieskiego
SOB30","Osiedle Pod Lipami
OPL02",13
69,69,2025-09-15,174 Unii Lubelskiej,18:30:00,18:47:00,00:17:00,"Osiedle Sobieskiego
SOB30","Osiedle Pod Lipami
OPL02",13
70,70,2025-09-15,174 Unii Lubelskiej,18:30:00,18:47:00,00:17:00,"Osiedle Sobieskiego
SOB30","Osiedle Pod Lipami
OPL02",13
71,71,2025-09-15,174 Unii Lubelskiej,18:30:00,18:47:00,00:17:00,"Osiedle Sobieskiego
SOB30","Osiedle Pod Lipami
OPL02",13
72,72,2025-09-15,174 Unii Lubelskiej,18:30:00,18:47:00,00:17:00,"Osiedle Sobieskiego
SOB30","Osiedle Pod Lipami
OPL02",13
73,73,2025-09-15,7 ogrody,19:00:00,19:55:00,00:55:00,"Połabska
POLA44","Ogrody 
OGDY41",36
74,74,2025-09-15,7 ogrody,19:00:00,19:55:00,00:55:00,"Połabska
POLA44","Ogrody 
OGDY41",36
75,75,2025-09-15,7 ogrody,19:00:00,19:55:00,00:55:00,"Połabska
POLA44","Ogrody 
OGDY41",36
76,76,2025-09-15,7 ogrody,19:00:00,19:55:00,00:55:00,"Połabska
POLA44","Ogrody 
OGDY41",36
77,77,2025-09-15,7 ogrody,19:00:00,19:55:00,00:55:00,"Połabska
POLA44","Ogrody 
OGDY41",36
78,78,2025-09-15,7 połabska,19:00:00,19:55:00,00:55:00,"ogrody
OGDY 42","połabska 41
POLA41",36
79,79,2025-09-15,7 połabska,19:00:00,19:55:00,00:55:00,"ogrody
OGDY 42","połabska 41
POLA41",36
80,80,2025-09-15,7 połabska,19:00:00,19:55:00,00:55:00,"ogrody
OGDY 42","połabska 41
POLA41",36
81,81,2025-09-15,7 połabska,19:00:00,19:55:00,00:55:00,"ogrody
OGDY 42","połabska 41
POLA41",36
82,82,2025-09-15,7 połabska,19:00:00,19:55:00,00:55:00,"ogrody
OGDY 42","połabska 41
POLA41",36
83,83,2025-09-15,7 połabska,19:00:00,19:55:00,00:55:00,"ogrody
OGDY 42","połabska 41
POLA41",36
84,84,2025-09-15,7 połabska,19:00:00,19:55:00,00:55:00,"ogrody
OGDY 42","połabska 41
POLA41",36
85,85,2025-09-15,7 połabska,19:00:00,19:55:00,00:55:00,"ogrody
OGDY 42","połabska 41
POLA41",36
86,86,2025-09-15,7 połabska,19:00:00,19:55:00,00:55:00,"ogrody
OGDY 42","połabska 41
POLA41",36
87,87,2025-09-15,7 połabska,19:00:00,19:55:00,00:55:00,"ogrody
OGDY 42","połabska 41
POLA41",36
88,88,2025-09-15,7 połabska,19:00:00,19:55:00,00:55:00,"ogrody
OGDY 42","połabska 41
POLA41",36
89,89,2025-09-15,7 połabska,19:00:00,19:55:00,00:55:00,"ogrody
OGDY 42","połabska 41
POLA41",36
90,90,2025-09-15,348 Przebędowo/Pętla,20:59:00,21:44:00,00:45:00,"Osiedle Sobieskiego
SOB30","Przebędowo/Pętla
PDPET01",36
91,91,2025-09-15,349 Przebędowo/Pętla,20:59:00,21:44:00,00:45:00,"Osiedle Sobieskiego
SOB31","Przebędowo/Pętla
PDPET02",37
92,92,2025-09-15,350 Przebędowo/Pętla,20:59:00,21:44:00,00:45:00,"Osiedle Sobieskiego
SOB32","Przebędowo/Pętla
PDPET03",38
93,93,2025-09-15,351 Przebędowo/Pętla,20:59:00,21:44:00,00:45:00,"Osiedle Sobieskiego
SOB33","Przebędowo/Pętla
PDPET04",39
94,94,2025-09-15,352 Przebędowo/Pętla,20:59:00,21:44:00,00:45:00,"Osiedle Sobieskiego
SOB34","Przebędowo/Pętla
PDPET05",40
95,95,2025-09-15,353 Przebędowo/Pętla,20:59:00,21:44:00,00:45:00,"Osiedle Sobieskiego
SOB35","Przebędowo/Pętla
PDPET06",41
96,96,2025-09-15,354 Przebędowo/Pętla,20:59:00,21:44:00,00:45:00,"Osiedle Sobieskiego
SOB36","Przebędowo/Pętla
PDPET07",42
97,97,2025-09-15,355 Przebędowo/Pętla,20:59:00,21:44:00,00:45:00,"Osiedle Sobieskiego
SOB37","Przebędowo/Pętla
PDPET08",43
98,98,2025-09-15,356 Przebędowo/Pętla,20:59:00,21:44:00,00:45:00,"Osiedle Sobieskiego
SOB38","Przebędowo/Pętla
PDPET09",44
99,99,2025-09-15,357 Przebędowo/Pętla,20:59:00,21:44:00,00:45:00,"Osiedle Sobieskiego
SOB39","Przebędowo/Pętla
PDPET10",45
100,100,2025-09-15,358 Przebędowo/Pętla,20:59:00,21:44:00,00:45:00,"Osiedle Sobieskiego
SOB40","Przebędowo/Pętla
PDPET11",46
