lp,"nr pasażera PEKA",data,linia - kierunek,"godzina wejścia","godzina wyjścia","czas podróży(min)","przystanek wejściowy","przystanek wyjściowy","liczba przejechanych przystanków"
99,99,2025-10-09,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
100,100,2025-10-09,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
101,101,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
102,102,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
103,103,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
104,104,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
105,105,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
106,106,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
107,107,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
108,108,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
109,109,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
110,110,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
111,111,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
112,112,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
113,113,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
114,114,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
115,115,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
116,116,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
117,117,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
118,118,2025-10-10,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
119,119,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
120,120,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
121,121,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
122,122,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
123,123,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
124,124,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
125,125,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
126,126,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
127,127,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
128,128,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
129,129,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
130,130,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
131,131,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
132,132,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
133,133,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
134,134,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
135,135,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
136,136,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
137,137,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
138,138,2025-10-11,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
139,139,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
140,140,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
141,141,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
142,142,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
143,143,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
144,144,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
145,145,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
146,146,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
147,147,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
148,148,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
149,149,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
150,150,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
151,151,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
152,152,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
153,153,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
154,154,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
155,155,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
156,156,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
157,157,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
158,158,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
159,159,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
160,160,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
161,161,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
162,162,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
163,163,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
164,164,2025-10-12,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
165,165,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
166,166,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
167,167,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
168,168,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
169,169,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
170,170,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
171,171,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
172,172,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
173,173,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
174,174,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
175,175,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
176,176,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
177,177,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
178,178,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
179,179,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
180,180,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
181,181,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
182,182,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
183,183,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
184,184,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
185,185,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
186,186,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
187,187,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
188,188,2025-10-13,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
189,189,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
190,190,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
191,191,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
192,192,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
193,193,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
194,194,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
195,195,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
196,196,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
197,197,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
198,198,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
199,199,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
200,200,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
201,201,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
202,202,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
203,203,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
204,204,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
205,205,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
206,206,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
207,207,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
208,208,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
209,209,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
210,210,2025-10-14,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
211,211,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
212,212,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
213,213,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
214,214,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
215,215,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
216,216,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
217,217,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
218,218,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
219,219,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
220,220,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
221,221,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
222,222,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
223,223,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
224,224,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
225,225,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
226,226,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
227,227,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
228,228,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
229,229,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
230,230,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
231,231,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
232,232,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
233,233,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
234,234,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
235,235,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
236,236,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
237,237,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
238,238,2025-10-15,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
239,239,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
240,240,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
241,241,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
242,242,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
